Разметка,id_level1,level1,id_level2,level2,id_level3,leve3,d_level1,d_level2,d_level3
Для ума,631,Образование,634,"История, искусство, краеведение",243,История кинематографа,"Занятия по изучению истории развития кинематографа: как рождался жанр, как выглядели герои на экранах, как изменялась одежда и др. ",,
Для ума,631,Образование,634,"История, искусство, краеведение",289,"История, культура Москвы","Занятия по изучению истории развития культуры, архитектуры, науки и искусства Москвы с древнейших времен до наших дней.",,
Для ума,631,Образование,634,"История, искусство, краеведение",485,История литературы,Занятия по изучению литературоведческих жанров и истории мировой литературы на протяжении всех периодов ее развития.,,
Для ума,631,Образование,634,"История, искусство, краеведение",1749,Москвоведение,"Краеведение, занимающаяся изучением Москвы",,
Для ума,631,Образование,634,"История, искусство, краеведение",1770,Генеалогия,"Изучение родственных взаимосвязей людей, истории родов, происхождение отдельных лиц, установление родственных связей, составление поколенных росписей и генеалогических древ.",,
Для ума,631,Образование,634,"История, искусство, краеведение",457,Основы духовной культуры,"Занятия по изучению морали и нравственности, веры и искусства, науки и философии через призму духовной сферы.",,
Для ума,631,Образование,634,"История, искусство, краеведение",121,История искусства,Занятия по изучению этапов эволюции стилей в искусстве и наиболее важных феноменов в истории культуры.,,
Для ума,631,Образование,634,"История, искусство, краеведение",1750,Природа Москвы,"Возможность участникам проекта узнать новое и интересное о флоре и фауне города, исторических событиях, происходивших на природоохранных территориях и людях, которые внесли вклад в их развитие.",,
Для души,631,Образование,1361,Киберспорт,1366,Киберспорт,"Занятия по основам, культуре и практике киберспорта.",,
Для ума,631,Образование,1062,ОНЛАЙН Английский язык,1154,ОНЛАЙН Английский язык,Занятия по изучению лексики и грамматики английского языка с помощью чтения и аудирования.,,
Для ума,631,Образование,1062,ОНЛАЙН Английский язык,1155,ОНЛАЙН Английский язык для начинающих,"Занятия по изучению основ английского языка: алфавит, звуки, цифры, техника построения предложений и т.д.",,
Для ума,631,Образование,1062,ОНЛАЙН Английский язык,1156,ОНЛАЙН Английский язык разговорный,"Занятия по изучению разговорных основ английского языка с помощью составления и ведения диалогов, чтения литературы и просмотра фильмов.",,
Для ума,631,Образование,1063,ОНЛАЙН Здорово жить,1158,ОНЛАЙН Здоровый образ жизни (ЗОЖ),"Занятия по изучению правил, основ и программ здорового питания, поиску жизненного баланса и поддержанию 
физического и психологического здоровья.",,
Для ума,631,Образование,1063,ОНЛАЙН Здорово жить,1774,ОНЛАЙН Здоровый сон,"Занятия по восстановлению качества сна, снижению уровня стресса, повышению ощущения радости и удовлетворенности жизнью, увеличению энергии.",,
Для ума,631,Образование,1063,ОНЛАЙН Здорово жить,1719,ОНЛАЙН Здоровое похудение,"Занятия с нутрициологом. Программа похудения без физических нагрузок для женщин и мужчин от 55 лет, с учетом всех возрастных особенностей",,
Для ума,631,Образование,1063,ОНЛАЙН Здорово жить,1157,ОНЛАЙН Здорово жить,Занятия по изучению основ здорового образа жизни и поддержания здоровья.,,
Для ума,631,Образование,1063,ОНЛАЙН Здорово жить,1720,ОНЛАЙН Правильное питание,"Авторская методика по питанию, которое помогает снижению веса, внедрению здоровых привычек и улучшению самочувствия",,
Для ума,631,Образование,1070,ОНЛАЙН Иностранные языки,1186,ОНЛАЙН Итальянский язык,Занятия по изучению грамматики и основ итальянского языка и увеличение словарного запаса для поддержания диалога с иностранцем.,,
Для ума,631,Образование,1070,ОНЛАЙН Иностранные языки,1189,ОНЛАЙН Иные иностранные языки,"Занятия по изучению основ грамматики и речевой стилистики, изучению алфавита и проработке правильного произношения иностранных языков.",,
Для ума,631,Образование,1070,ОНЛАЙН Иностранные языки,1187,ОНЛАЙН Немецкий язык,Занятия по изучению грамматики и основ немецкого языка и увеличение словарного запаса для поддержания диалога с иностранцем.,,
Для ума,631,Образование,1070,ОНЛАЙН Иностранные языки,1696,ОНЛАЙН Турецкий язык,Занятия по изучению грамматики и основ турецкого языка и увеличение словарного запаса для поддержания диалога с иностранцем.,,
Для ума,631,Образование,1070,ОНЛАЙН Иностранные языки,1701,ОНЛАЙН Турецкий язык продвинутый курс,Занятия по изучению грамматики и основ турецкого языка и увеличение словарного запаса для поддержания диалога с иностранцем продвинутый курс,,
Для ума,631,Образование,1070,ОНЛАЙН Иностранные языки,1695,ОНЛАЙН Китайский язык,Занятия по изучению грамматики и основ китайского языка и увеличение словарного запаса для поддержания диалога с иностранцем.,,
Для ума,631,Образование,1070,ОНЛАЙН Иностранные языки,1700,ОНЛАЙН Китайский язык продвинутый курс,Занятия по изучению грамматики и основ китайского языка и увеличение словарного запаса для поддержания диалога с иностранцем продвинутый курс,,
Для ума,631,Образование,1070,ОНЛАЙН Иностранные языки,1694,ОНЛАЙН Греческий язык,Занятия по изучению грамматики и основ греческого языка и увеличение словарного запаса для поддержания диалога с иностранцем.,,
Для ума,631,Образование,1070,ОНЛАЙН Иностранные языки,1699,ОНЛАЙН Греческий язык продвинутый курс,Занятия по изучению грамматики и основ греческого языка и увеличение словарного запаса для поддержания диалога с иностранцем продвинутый курс,,
Для ума,631,Образование,1070,ОНЛАЙН Иностранные языки,1693,ОНЛАЙН Арабский язык,Занятия по изучению грамматики и основ арабского языка и увеличение словарного запаса для поддержания диалога с иностранцем.,,
Для ума,631,Образование,1070,ОНЛАЙН Иностранные языки,1698,ОНЛАЙН Арабский язык продвинутый курс,Занятия по изучению грамматики и основ арабского языка и увеличение словарного запаса для поддержания диалога с иностранцем продвинутый курс,,
Для ума,631,Образование,1070,ОНЛАЙН Иностранные языки,1185,ОНЛАЙН Испанский язык,Занятия по изучению грамматики и основ испанского языка и увеличение словарного запаса для поддержания диалога с иностранцем.,,
Для ума,631,Образование,1070,ОНЛАЙН Иностранные языки,1723,ОНЛАЙН Французский язык продвинутый курс,Занятия по изучению грамматики французского языка и увеличению словарного запаса для поддержания диалога с иностранцем.,,
Для ума,631,Образование,1070,ОНЛАЙН Иностранные языки,1188,ОНЛАЙН Французский язык,Занятия по изучению грамматики и основ французского языка и увеличение словарного запаса для поддержания диалога с иностранцем.,,
Для ума,631,Образование,1070,ОНЛАЙН Иностранные языки,1697,ОНЛАЙН Японский язык,Занятия по изучению грамматики и основ японского языка и увеличение словарного запаса для поддержания диалога с иностранцем.,,
Для ума,631,Образование,1070,ОНЛАЙН Иностранные языки,1702,ОНЛАЙН Японский язык продвинутый курс,Занятия по изучению грамматики и основ японского языка и увеличение словарного запаса для поддержания диалога с иностранцем продвинутый курс,,
Для ума,631,Образование,1061,ОНЛАЙН Информационные технологии,1151,ОНЛАЙН Продвинутый интернет,"Занятия по изучению навыков продвинутого интернет-пользователя: использование городских онлайн-сервисов, регистрация, ведение страниц и общение в социальных сетях и др.",,
Для ума,631,Образование,1061,ОНЛАЙН Информационные технологии,1149,ОНЛАЙН Курсы компьютерной грамотности,"Занятия по изучению навыков работы на компьютере и знакомство с основными компьютерными программами и 
интернет-сервисами.",,
Для ума,631,Образование,1061,ОНЛАЙН Информационные технологии,1153,ОНЛАЙН Электронные услуги: учимся пользоваться,Занятия по изучению и демонстрации функционала городских электронных услуг.,,
Для ума,631,Образование,1061,ОНЛАЙН Информационные технологии,1152,ОНЛАЙН Работа на компьютере и в социальных сетях,"Занятия по изучению основ работы с компьютерными программами, интернет-сервисами и социальными сетями.",,
Для ума,631,Образование,1061,ОНЛАЙН Информационные технологии,1714,ОНЛАЙН 3D-моделирование,Занятия по изучению мультимедийных программ по 3D моделированию.,,
Для ума,631,Образование,1061,ОНЛАЙН Информационные технологии,1148,ОНЛАЙН Доступный интернет,"Занятия по изучению основ работы в интернете: поиск необходимой информации, виды городских онлайн-сервисов и 
социальных сетей, и др.",,
Для ума,631,Образование,1061,ОНЛАЙН Информационные технологии,1150,ОНЛАЙН Осваиваем мобильные устройства,Занятия по изучению возможностей функционала смартфонов и основных мобильных приложений.,,
Для ума,631,Образование,1065,"ОНЛАЙН История, искусство, краеведение",1703,ОНЛАЙН Церковнославянский язык,"Изучение церковнославянского языка помогает участвовать в православном богослужении и понимать тексты молитв, осознанно и правильно говорить на традиционном славянском языке богослужения, развивает тонкое смысловое и языковое чутьё, формирует чистую, выразительную, красивую, грамотную речь.",,
Для ума,631,Образование,1065,"ОНЛАЙН История, искусство, краеведение",1704,ОНЛАЙН Москвоведение,"Краеведение, занимающаяся изучением Москвы",,
Для ума,631,Образование,1065,"ОНЛАЙН История, искусство, краеведение",1164,ОНЛАЙН История литературы,Занятия по изучению истории мировой литературы и литературоведческих жанров на протяжении всех периодов ее развития.,,
Для ума,631,Образование,1065,"ОНЛАЙН История, искусство, краеведение",1692,ОНЛАЙН Природа Москвы,"Возможность участникам проекта узнать новое и интересное о флоре и фауне города, исторических событиях, происходивших на природоохранных территориях и людях, которые внесли вклад в их развитие.",,
Для ума,631,Образование,1065,"ОНЛАЙН История, искусство, краеведение",1163,ОНЛАЙН История кинематографа,"Занятия по изучению истории развития кинематографа: как рождался жанр, как выглядели герои на экранах, как изменялась одежда и др. ",,
Для ума,631,Образование,1065,"ОНЛАЙН История, искусство, краеведение",1769,ОНЛАЙН Генеалогия,"Изучение родственных взаимосвязей людей, истории родов, происхождение отдельных лиц, установление родственных связей, составление поколенных росписей и генеалогических древ.",,
Для ума,631,Образование,1065,"ОНЛАЙН История, искусство, краеведение",1162,ОНЛАЙН История искусства,Занятия по изучению этапов эволюции стилей в искусстве и наиболее важных феноменах в истории культуры.,,
Для ума,631,Образование,1065,"ОНЛАЙН История, искусство, краеведение",1167,ОНЛАЙН Основы духовной культуры,"Занятия по изучению морали и нравственности, веры и искусства, науки и философии через призму духовной сферы.",,
Для ума,631,Образование,1065,"ОНЛАЙН История, искусство, краеведение",1166,"ОНЛАЙН История, культура России","Занятия по изучению этапов истории становления России, ее культуры, искусства, человеческого быта в разрезе разных эпох.",,
Для ума,631,Образование,1065,"ОНЛАЙН История, искусство, краеведение",1165,"ОНЛАЙН История, культура Москвы","Занятия по изучению истории развития культуры, архитектуры, науки и искусства Москвы с древнейших времён до наших дней.",,
Для души,631,Образование,1792,ОНЛАЙН Киберспорт,1793,ОНЛАЙН Киберспорт,"Занятия по основам, культуре и практике киберспорта.",,
Для ума,631,Образование,1067,ОНЛАЙН Образовательный практикум,1810,ОНЛАЙН Безопасность жизнедеятельности,Занятия по изучению основ безопасного поведения в различных ситуациях.,,
Для ума,631,Образование,1067,ОНЛАЙН Образовательный практикум,1812,ОНЛАЙН Добровольчество (волонтерство),Занятия по базовой подготовке в области добровольческой деятельности (волонтерства) в различных направлениях.,,
Для ума,631,Образование,1067,ОНЛАЙН Образовательный практикум,1175,ОНЛАЙН Обучение игре на музыкальных инструментах,Занятия по изучению способов развития музыкального слуха и зрительной памяти с помощью обучения игре на различных музыкальных инструментах.,,
Для ума,631,Образование,1067,ОНЛАЙН Образовательный практикум,1179,"ОНЛАЙН Свой бизнес, самозанятость","Занятия по изучению этапов, способов и нюансов открытия собственного дела, виды правовых форм и ведению собственного бизнеса.",,
Для ума,631,Образование,1067,ОНЛАЙН Образовательный практикум,1178,ОНЛАЙН Перезагрузка (программа школы для помощи внукам)/ знай учебник лучше внука,Занятия по изучению школьной программы и нюансах современного образования для оказания помощи внукам.,,
Для ума,631,Образование,1067,ОНЛАЙН Образовательный практикум,1174,ОНЛАЙН Обучение игре на гитаре,"Занятия по изучению основ игры на гитаре, дающих возможность тренировать мелкую моторику и память.",,
Для ума,631,Образование,1067,ОНЛАЙН Образовательный практикум,1180,ОНЛАЙН Школа пчеловода,"Занятия по изучению этапов разведения пчел для начинающих: как создать свою пасеку с нуля, какие этапы предстоит пройти и как ухаживать за собственной пасекой.",,
Для ума,631,Образование,1067,ОНЛАЙН Образовательный практикум,1772,ОНЛАЙН Техника речи,"Занятия для тех, кто хочет освоить навыки четкой дикции и интонации, научиться правильному речевому дыханию, голосоподаче.
Участники освоят выполнение артикуляционных, дыхательных, речевых, интонационных упражнений, обучатся элементам самомассажа мимической мускулатуры, научатся красиво, понятно говорить.
Занятие включает теорию, совместное выполнение практических упражнений, разбор сложностей.",,
Для ума,631,Образование,1067,ОНЛАЙН Образовательный практикум,1173,ОНЛАЙН Ментальная арифметика,Занятия по изучению полезных навыков счета помогают формированию новых нейронных связей и являются своего рода профилактикой заболеваний головного мозга.,,
Для ума,631,Образование,1067,ОНЛАЙН Образовательный практикум,1716,ОНЛАЙН Скорочтение,"Упражнения для развития навыка скорочтения - это возможность увеличить объем запоминаемого текста, сэкономить время на его изучение, развить внимание и значительно ускорить мыслительные процессы.",,
Для ума,631,Образование,1067,ОНЛАЙН Образовательный практикум,1176,ОНЛАЙН Обучение игре на фортепьяно,"Занятия по изучению нотной грамоты, подборки музыки на слух и игре на фортепиано своих любимых мелодий.",,
